Wholesaler,Code,Item Description,Brand,Pack Size,Unit of Measure,Unit Price,GST Value,Total Value,,,,,,,,,
Bidvest,142421,Chips 9mm Stealth Skin On,Lamb & Weston,6 x 2.26,Ctn,35.00,,35.00,,,,,,,,,
,107536,Paper Baking Dispenser,Caterers Choice,120m x 40cm,Roll,21.08,2.11,23.19,,,,,,,,,
,81004,Pastry Puff Roll Dispenser,Caterers Choice,2 x 5kg,Ctn,47.06,,47.06,,,,,,,,,
,55761,Nutmeg Ground,Caterers Choice,1 Kg,Pkt,41.40,,41.40,,,,,,,,,
,320,Peas,Edgell,2 Kg,Pkt,6.73,,6.73,,,,,,,,,
,6660,Maple Syrup,Cottees,3 Lt,Btl,15.53,,15.53,,,,,,,,,
,2470,Cheese Mascarpone,Fresco,1 Kg,Tub,15.11,,15.11,,,,,,,,,
,107877,Jalapeno Sliced Peppers,John Bull,A10,Can,8.11,,8.11,,,,,,,,,
,643,Cheese Philadelphia Cream,Kraft,2 Kg,Pkt,20.53,,20.53,,,,,,,,,
,117461,Cream Thickened,Dairy Farmers,5 Lt,Btl,20.53,,20.53,,,,,,,,,
,2207,Pastry Filo Chilled,Antoniou,375 Gm,Pkt,2.37,,2.37,,,,,,,,,
,67121,Amond Meal,Caterers Choice,1 Kg,Pkt,22.12,,22.12,,,,,,,,,
,245532,Carrot Diced Iqf,Cheekys,2.5 Kg,Pail,3.79,,3.79,,,,,,,,,
,325543,Noodles Singapore,Hakka,3 Lt,Btl,2.53,,2.53,,,,,,,,,
,47777,Chillies Dried Red Small,Madam Wong,1 Kg,Pkt,8.65,,8.65,,,,,,,,,
,43211,Chutney Fruit,Riviana,2.26 Kg,Pail,24.20,2.42,26.62,,,,,,,,,
,89254,Green Curry Paste,Marco Polo,734 Gm,Bkt,2.41,,2.41,,,,,,,,,
,821356,Green Curry Paste,Marco Polo,1.5 Kg,Bkt,5.17,,5.17,,,,,,,,,
,6807,Duck Legs Confit ,Pepe's,4.5 Kg,Kg,18.42,,18.20,,,,,,,,,
,135775,Noodles Soba Organic,Hakubaku,3 Kg,Btl,2.60,,2.60,,,,,,,,,
,754666,Beef Shredded,KRC,1 Kg,Pkt,23.30,,23.30,,,,,,,,,
,140204,Chocolate Couveture Piccoli Dark Bittersweet 50%,Lindt,2.5 Kg,Pkt,29.61,,29.61,,,,,,,,,
,6668,Chocolate Couveture Piccoli White Blancor,Lindt,2.5 Kg,Bag,29.61,,59.22,,,,,,,,,
,56340,Flour Self Raising,Caterers Choice,10 Kg,Bag,15.16,,15.16,,,,,,,,,
,64999,Cocoa Powder,Caterers Choice,1 Kg,Pkt,14.14,,14.14,,,,,,,,,
,21578,Cucumber Dill (Gherkins),Marco Polo,2.35 Kg,Jar,8.80,,8.80,,,,,,,,,
,93030,Salt Table,Saxa,10 Kg,Bag,7.19,,7.19,,,,,,,,,
,78833,Sponge Fingers,Unibic,250 Gm,Pkt,3.90,0.39,4.29,,,,,,,,,
,104620,Sauce Tomato Gluten Free,Caterers Choice,4 Lt,Btl,8.95,,8.95,,,,,,,,,
,65032,Sugar Brown,Caterers Choice,3 Kg,Pkt,8.57,,8.57,,,,,,,,,
,11371,Sugar White,Bundaberg,2 Kg,Pkt,3.56,,3.56,,,,,,,,,
,63973,Walnut Halves & Pieces USA,Caterers Choice,1 Kg,Pkt,20.83,,20.83,,,,,,,,,
,140554,Mayonnaise Whole Egg,Masterfoods,15 Kg,Tub,31.67,,31.67,,,,,,,,,
,13811,Ketjap Manis (sweet Soy Sauce) Red Label,Abc,500 Gm,Pkt,3.30,3.30,3.30,,,,,,,,,
