code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
129140,Garlic Minced Fresh,0,0.0,3.0,15.68,15.68,47.04,47.04,3,26.9935670801,26.9935670801,80.9807012403,80.9807012403,,,
64996,Chocolate Buttons Milk,0,0.0,2.0,11.54,11.54,23.08,23.08,1,21.7928711373,21.7928711373,21.7928711373,21.7928711373,,,
102293,Cheesecake Caramel Swirl Pre Cut 16's 1-272,0,10.0,1.7,48.36,53.196,82.212,90.4332,1.7,48.36,53.196,82.212,90.4332,,,
36205,Olives Black Sliced,0,0.0,16.0,8.96,8.96,143.36,143.36,15,8.96,8.96,134.4,134.4,,,
55748,Seeds Cumin Whole,0,0.0,1.0,19.81,19.81,19.81,19.81,1,19.81,19.81,19.81,19.81,,,
22945,Cheese Slices Light & Tasty,0,0.0,2.0,22.45,22.45,44.9,44.9,2,22.45,22.45,44.9,44.9,,,
110563,Coconut Cream,0,0.0,1.5,2.14,2.14,3.21,3.21,0.5,2.14,2.14,1.07,1.07,,,
80892,Pudding Self Saucing Blackberry,0,0.0,3.0,108.24,108.24,324.72,324.72,2,108.24,108.24,216.48,216.48,,,
52754,Vinegar White Wine,1,0.0,0.4,3.98,3.98,1.592,1.592,0.4,3.98,3.98,1.592,1.592,,,
48742,Sauce Soy Dark Superior,1,0.0,3.0,8.78,8.78,26.34,26.34,3,8.78,8.78,26.34,26.34,,,
123805,Hash Browns Triangles Mini,1,0.0,2.0,9.52,9.52,19.04,19.04,2,9.52,9.52,19.04,19.04,,,
121055,Food Pail 650ml 22oz Printed,1,10.0,3.0,112.22,123.442,336.66,370.326,3,112.22,123.442,336.66,370.326,,,
129564,Nectar Apricot,1,10.0,0.6,2.84,3.124,1.704,1.8744,0.6,2.84,3.124,1.704,1.8744,,,
156331,Sauce Cheese,1,0.0,10.0,9.52,9.52,95.2,95.2,10,9.52,9.52,95.2,95.2,,,
34914,Paper Chinese Greaseproof Half 400x330mm,1,10.0,4.0,20.62,22.682,82.48,90.728,4,20.62,22.682,82.48,90.728,,,
159158,Straws Plastic Flexi Black 21cm,2,10.0,2.6,7.07,7.777,18.382,20.22,1.6,7.07,7.777,11.312,12.4432,,500'S,
122026,Tart P/c Chocolate Macadamia 1-843,2,10.0,3.0,21.03,23.133,63.09,69.399,3,21.03,23.133,63.09,69.399,,6x110 gr,
137846,Napkins 1 Ply Lunch Natural Brown,2,10.0,5.0,6.67,7.337,33.35,36.685,5,6.67,7.337,33.35,36.685,,500'S,
40750,Bread Rolls Dinner White Fully Baked (9599),2,0.0,2.0,49.67,49.67,99.34,99.34,2,49.67,49.67,99.34,99.34,,160x35 gr,
146677,Dressing Caesar,2,0.0,2.0,10.94,10.94,21.88,21.88,2,10.94,10.94,21.88,21.88,,1.2Kg,
158959,Drink Orange Fizz Organic,2,10.0,2.0,27.01,29.711,54.02,59.422,1,27.01,29.711,27.01,29.711,,15x330 ml,
52757,Oil Olive Extra Virgin,2,0.0,10.0,38.96,38.96,389.6,389.6,10,38.96,38.96,389.6,389.6,,4 Lt,
155689,Cake Tea Apple & Berry,2,10.0,2.0,10.16,11.176,20.32,22.352,1,10.16,11.176,10.16,11.176,,1.08 Kg,
17093,Juice Lime,2,0.0,2.0,12.06,12.06,24.12,24.12,1,12.06,12.06,12.06,12.06,,1 Lt,
52198,Milk Uht Iced Coffee,3,10.0,2.0,43.11,47.421,86.22,94.842,2,75.6516726382,83.216839902,151.303345276,166.433679804,,,
21080,Paste Curry Red ,3,0.0,1.0,8.54,8.54,8.54,8.54,1,13.6071062145,13.6071062145,13.6071062145,13.6071062145,,,
98654,Beef Striploin Whole Chilled (app 20kg Ctn),3,0.0,1.0,20.87,20.87,20.87,20.87,1,36.9906140767,36.9906140767,36.9906140767,36.9906140767,,,
44145,Chicken Riblets Hot & Spicy,3,0.0,2.5,64.1,64.1,160.25,160.25,2.5,117.520720224,117.520720224,293.801800559,293.801800559,,,
106576,"Pizza Bases 9"" Gluten Free",3,0.0,1.0,90.49,90.49,90.49,90.49,1,170.087533834,170.087533834,170.087533834,170.087533834,,,
