code,description,fileIndex,gstPercent,orderedQuantity,orderedUnitPrice,orderedTotalUnitPrice,orderedPrice,orderedTotalPrice,quantity,unitPrice,totalUnitPrice,price,totalPrice,brand,packSize,unitOfMeasure
GF1,Pies Beef (2),0,10.0,5.0,6.3182,6.95,31.5909,34.75,5.0,6.3182,6.95,31.5909,34.75,,,EACH
GF6,Pies Vegetable (2),0,10.0,5.0,6.3182,6.95,31.5909,34.75,5.0,6.3182,6.95,31.5909,34.75,,,EACH
GF22,Spinach & Fetta Turnover (3),0,10.0,5.0,5.9636,6.56,29.8182,32.8,5.0,5.9636,6.56,29.8182,32.8,,,EACH
GF120,Party Sausage Rolls (12),0,10.0,4.0,7.4636,8.21,29.8545,32.84,4.0,7.4636,8.21,29.8545,32.84,,,EACH
GF150,Bread Stick Herb,0,0.0,8.0,3.93,3.93,31.44,31.44,8.0,3.93,3.93,31.44,31.44,,,EACH
GF151,Bread Stick Garlic,0,0.0,8.0,3.93,3.93,31.44,31.44,8.0,3.93,3.93,31.44,31.44,,,EACH
GF152,Bread Sticks Plain 0x25A0,0,0.0,8.0,3.93,3.93,31.44,31.44,8.0,3.93,3.93,31.44,31.44,,,EACH
GF30,Lamington (6),0,10.0,4.0,6.3273,6.96,25.3091,27.84,4.0,6.3273,6.96,25.3091,27.84,,,EACH
GF43,' Muffins Choc Chip (2),0,10.0,5.0,4.0,4.4,20.0,22.0,5.0,4.0,4.4,20.0,22.0,,,EACH
GF44,Muffins Raspberry Delight (2),0,10.0,5.0,4.0,4.4,20.0,22.0,5.0,4.0,4.4,20.0,22.0,,,EACH
GF84,Donut-Cinnamon (8),0,10.0,10.0,5.0,5.5,50.0,55.0,10.0,5.0,5.5,50.0,55.0,,,EACH
GF85,Eclairs Custard (3),0,10.0,4.0,4.9,5.39,19.6,21.56,4.0,4.9,5.39,19.6,21.56,,,EACH
GF100,Slice - Rum & Raisin (6),0,10.0,4.0,6.4,7.04,25.6,28.16,4.0,6.4,7.04,25.6,28.16,,,EACH
GF104,Slice - Cherry (6),0,10.0,4.0,6.3818,7.02,25.5273,28.08,4.0,6.3818,7.02,25.5273,28.08,,,EACH
